"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Personas, skills & prompts","0","Personas","6","6","","0"
"0","Providers & API keys","0","Key config","9","0","","0"
"0","","0","","0","17","","0"
"0","CLI & config","0","CLI","12","0","","0"
"0","Personas, skills & prompts","0","Manifest","15","0","","0"
"0","Agent runtime","0","Agent","21","0","","0"
"0","Daemon & services","0","Daemon core","18","0","","0"
"0","Daemon & services","0","Daemon RPC client","3","0","","0"
"0","Daemon & services","0","systemd backend","45","0","","0"
"0","Daemon & services","0","launchd backend","22","0","","0"
"0","Agent runtime","0","Chat runner","12","0","","0"
"0","Personas, skills & prompts","0","Skills","12","0","","0"
"0","Agent runtime","0","Runtime","9","0","","0"
"0","Daemon & services","0","Daemon lifecycle","9","0","","0"
"0","Personas, skills & prompts","0","Prompt assembly","3","0","","0"
"0","Daemon & services","0","Windows SCM backend","6","0","","0"
"0","Providers & API keys","0","Providers (LiteLLM)","6","0","","0"
"0","Agent runtime","0","Action plane","3","0","","0"
"0","Installation","0","Installer script","3","0","","0"
