"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_agent_lists_skills_from_construction","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","Agent","",""
"","0","test_runtime_routes_tool_calls_to_mcp_client","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","Runtime","",""
"","0","test_systemctl_missing_raises_with_foreground_hint","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","systemd backend","",""
"","0","test_status_not_installed_when_list_fails","tests","Wed Jun 10 16:48:24 UTC 2026","skipped","Wed Jun 10 16:48:24 UTC 2026","","test_service_launchd","",""
"","0","test_chat_lists_no_tools_without_action_plane_clients","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","Chat runner","",""
"","5648","test_personas_list_shows_defaults","Binary usage","Wed Jun 10 16:51:58 UTC 2026","skipped","Wed Jun 10 16:52:03 UTC 2026","","Personas","",""
"","11","test_daemon_lists_no_agents","Binary usage","Wed Jun 10 16:51:49 UTC 2026","passed","Wed Jun 10 16:51:49 UTC 2026","","Daemon lifecycle","",""
"","0","test_status_running_when_pid_present","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","launchd backend","",""
"","0","test_chat_forwards_messages_to_responder","Unit","Wed Jun 10 16:48:24 UTC 2026","passed","Wed Jun 10 16:48:24 UTC 2026","","Chat runner","",""
"","0","test_install_writes_plist_and_bootstraps","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","launchd backend","",""
"","1315","test_help_lists_commands","Binary usage","Wed Jun 10 16:50:18 UTC 2026","passed","Wed Jun 10 16:50:19 UTC 2026","","CLI","",""
"","0","test_install_rolls_back_when_bootstrap_fails","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","launchd backend","",""
"","0","test_status_normalizes_inactive_to_stopped","Unit","Wed Jun 10 16:48:24 UTC 2026","passed","Wed Jun 10 16:48:24 UTC 2026","","systemd backend","",""
"","1","test_install_rolls_back_when_enable_fails","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","systemd backend","",""
"","0","test_persona_registry_rejects_unknown_tag","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","Personas","",""
"","0","test_empty_action_plane_connector_returns_no_clients","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","Action plane","",""
"","1","test_agent_config_round_trips_key_and_model","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","Key config","",""
"","2466","test_action_planes_add_and_list","Binary usage","Wed Jun 10 16:50:20 UTC 2026","passed","Wed Jun 10 16:50:23 UTC 2026","","CLI","",""
"","1228","test_keys_list_empty","Binary usage","Wed Jun 10 16:50:19 UTC 2026","passed","Wed Jun 10 16:50:20 UTC 2026","","CLI","",""
"","0","test_empty_action_plane_connector_returns_no_clients","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","Action plane","",""
"","1","test_parse_skill_reads_frontmatter_and_instructions","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","Skills","",""
"","0","test_daemon_command_uses_subcommand_form_when_frozen","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","systemd backend","",""
"","0","test_install_writes_unit_and_enables","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","systemd backend","",""
"","0","test_uninstall_tolerates_not_installed","tests","Wed Jun 10 16:47:28 UTC 2026","skipped","Wed Jun 10 16:47:28 UTC 2026","","test_service_windows","",""
"","0","test_keys_config_for_provider_filters_by_type","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","Key config","",""
"","1","test_install_writes_plist_and_bootstraps","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","launchd backend","",""
