"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_chat_exits_on_slash_exit","tests","Wed Jun 10 14:58:48 UTC 2026","passed","Wed Jun 10 14:58:48 UTC 2026","","test_runner","",""
"","1","test_install_writes_unit_and_enables","tests","Wed Jun 10 14:58:48 UTC 2026","passed","Wed Jun 10 14:58:48 UTC 2026","","test_service_systemd","",""
"","7151","test_installer_script","tests.installer","Wed Jun 10 15:04:00 UTC 2026","passed","Wed Jun 10 15:04:07 UTC 2026","","test_install_script","",""
"","2","test_uninstall_warns_on_real_disable_failure","tests","Wed Jun 10 14:59:52 UTC 2026","passed","Wed Jun 10 14:59:52 UTC 2026","","test_service_systemd","",""
"","0","test_install_rolls_back_when_bootstrap_fails","tests","Wed Jun 10 14:58:53 UTC 2026","passed","Wed Jun 10 14:58:53 UTC 2026","","test_service_launchd","",""
"","0","test_persona_registry_rejects_unknown_tag","tests","Wed Jun 10 14:59:52 UTC 2026","passed","Wed Jun 10 14:59:52 UTC 2026","","test_personas","",""
"","1881","test_daemon_stops_cleanly_via_rpc","tests.integration","Wed Jun 10 15:03:34 UTC 2026","passed","Wed Jun 10 15:03:36 UTC 2026","","test_daemon_lifecycle","",""
"","0","test_create_agent_requires_runtime_agent_name","tests","Wed Jun 10 14:58:53 UTC 2026","passed","Wed Jun 10 14:58:53 UTC 2026","","test_agent_factory","",""
"","5499","test_help_lists_commands","tests.integration","Wed Jun 10 15:02:46 UTC 2026","passed","Wed Jun 10 15:02:51 UTC 2026","","test_cli_smoke","",""
"","3393","test_installer_script","tests.installer","Wed Jun 10 15:02:16 UTC 2026","passed","Wed Jun 10 15:02:19 UTC 2026","","test_install_script","",""
"","1","test_parse_skill_reads_frontmatter_and_instructions","tests","Wed Jun 10 14:59:52 UTC 2026","passed","Wed Jun 10 14:59:52 UTC 2026","","test_skills","",""
"Shutdown requested before serve_forever should make serve_forever a no-op
    instead of blocking on the never-initialized shutdown event.","0","test_request_shutdown_before_serve_does_not_deadlock","tests","Wed Jun 10 14:59:50 UTC 2026","passed","Wed Jun 10 14:59:50 UTC 2026","","test_daemon","",""
"","2126","test_action_planes_add_and_list","tests.integration","Wed Jun 10 15:01:25 UTC 2026","passed","Wed Jun 10 15:01:27 UTC 2026","","test_cli_smoke","",""
"","0","test_plist_content_includes_label_and_program_args","tests","Wed Jun 10 14:58:48 UTC 2026","passed","Wed Jun 10 14:58:48 UTC 2026","","test_service_launchd","",""
"","0","test_agent_manager_reports_unknown_agent","tests","Wed Jun 10 14:59:50 UTC 2026","passed","Wed Jun 10 14:59:50 UTC 2026","","test_daemon","",""
"","0","test_start_when_inactive_invokes_systemctl_start","tests","Wed Jun 10 14:59:52 UTC 2026","passed","Wed Jun 10 14:59:52 UTC 2026","","test_service_systemd","",""
"","0","test_status_state_not_installed","tests","Wed Jun 10 14:58:53 UTC 2026","skipped","Wed Jun 10 14:58:53 UTC 2026","","test_service_windows","",""
"","1","test_uninstall_quiet_when_unit_not_loaded","tests","Wed Jun 10 14:58:53 UTC 2026","passed","Wed Jun 10 14:58:53 UTC 2026","","test_service_systemd","",""
"","0","test_runtime_routes_tool_calls_to_mcp_client","tests","Wed Jun 10 14:59:52 UTC 2026","passed","Wed Jun 10 14:59:52 UTC 2026","","test_runtime","",""
"","0","test_create_agent_uses_runtime_agent_name_in_prompt","tests","Wed Jun 10 14:58:53 UTC 2026","passed","Wed Jun 10 14:58:53 UTC 2026","","test_agent_factory","",""
"","0","test_daemon_command_uses_subcommand_form_when_frozen","tests","Wed Jun 10 14:59:52 UTC 2026","passed","Wed Jun 10 14:59:52 UTC 2026","","test_service_systemd","",""
"","1","test_parse_skill_reads_frontmatter_and_instructions","tests","Wed Jun 10 14:58:48 UTC 2026","passed","Wed Jun 10 14:58:48 UTC 2026","","test_skills","",""
"","1","test_daemon_reports_running_with_no_agents","tests.integration","Wed Jun 10 15:02:06 UTC 2026","passed","Wed Jun 10 15:02:06 UTC 2026","","test_daemon_lifecycle","",""
"","0","test_unit_content_uses_current_python_and_pins_config_exit_code","tests","Wed Jun 10 14:59:52 UTC 2026","passed","Wed Jun 10 14:59:52 UTC 2026","","test_service_systemd","",""
"","1","test_keys_config_for_provider_filters_by_type","tests","Wed Jun 10 14:58:48 UTC 2026","passed","Wed Jun 10 14:58:48 UTC 2026","","test_key_config","",""
"","1","test_uninstall_removes_plist_and_boots_out","tests","Wed Jun 10 14:58:48 UTC 2026","passed","Wed Jun 10 14:58:48 UTC 2026","","test_service_launchd","",""
"","1","test_install_restores_previous_unit_when_enable_fails","tests","Wed Jun 10 14:58:48 UTC 2026","passed","Wed Jun 10 14:58:48 UTC 2026","","test_service_systemd","",""
"","0","test_uninstall_removes_plist_and_boots_out","tests","Wed Jun 10 14:58:53 UTC 2026","passed","Wed Jun 10 14:58:53 UTC 2026","","test_service_launchd","",""
"","0","test_chat_shows_hint_on_empty_message","tests","Wed Jun 10 14:58:48 UTC 2026","passed","Wed Jun 10 14:58:48 UTC 2026","","test_runner","",""
"","1028","test_unknown_command_fails","tests.integration","Wed Jun 10 15:01:27 UTC 2026","passed","Wed Jun 10 15:01:28 UTC 2026","","test_cli_smoke","",""
"","6669","test_personas_list_shows_defaults","tests.integration","Wed Jun 10 15:03:36 UTC 2026","skipped","Wed Jun 10 15:03:43 UTC 2026","","test_usage_personas","",""
"","0","test_status_not_installed_when_list_fails","tests","Wed Jun 10 14:59:52 UTC 2026","skipped","Wed Jun 10 14:59:52 UTC 2026","","test_service_launchd","",""
"","0","test_agent_manager_routes_messages_to_running_agent","tests","Wed Jun 10 14:58:48 UTC 2026","passed","Wed Jun 10 14:58:48 UTC 2026","","test_daemon","",""
"","0","test_status_running_when_pid_present","tests","Wed Jun 10 14:58:53 UTC 2026","passed","Wed Jun 10 14:58:53 UTC 2026","","test_service_launchd","",""
"","0","test_empty_action_plane_connector_returns_no_clients","tests","Wed Jun 10 14:59:50 UTC 2026","passed","Wed Jun 10 14:59:50 UTC 2026","","test_action_plane","",""
"","0","test_install_rolls_back_when_bootstrap_fails","tests","Wed Jun 10 14:58:48 UTC 2026","passed","Wed Jun 10 14:58:48 UTC 2026","","test_service_launchd","",""
"","1316","test_personas_list_shows_defaults","tests.integration","Wed Jun 10 15:02:10 UTC 2026","skipped","Wed Jun 10 15:02:11 UTC 2026","","test_usage_personas","",""
"","2","test_key_config_round_trips","tests","Wed Jun 10 14:59:52 UTC 2026","passed","Wed Jun 10 14:59:52 UTC 2026","","test_key_config","",""
"","0","test_agent_uses_provider_for_normal_messages","tests","Wed Jun 10 14:58:48 UTC 2026","passed","Wed Jun 10 14:58:48 UTC 2026","","test_agent","",""
"","1","test_runtime_reports_unavailable_server_as_mcp_error","tests","Wed Jun 10 14:58:53 UTC 2026","passed","Wed Jun 10 14:58:53 UTC 2026","","test_runtime","",""
"","6","test_manifest_accepts_minimal_shape","tests","Wed Jun 10 14:58:53 UTC 2026","passed","Wed Jun 10 14:58:53 UTC 2026","","test_manifest","",""
"","0","test_status_stopped_when_loaded_without_pid","tests","Wed Jun 10 14:58:48 UTC 2026","passed","Wed Jun 10 14:58:48 UTC 2026","","test_service_launchd","",""
"","0","test_manifest_accepts_minimal_shape","tests","Wed Jun 10 14:58:48 UTC 2026","passed","Wed Jun 10 14:58:48 UTC 2026","","test_manifest","",""
"","1","test_install_writes_plist_and_bootstraps","tests","Wed Jun 10 14:58:53 UTC 2026","passed","Wed Jun 10 14:58:53 UTC 2026","","test_service_launchd","",""
"","3","test_agent_manager_spawns_running_agent","tests","Wed Jun 10 14:58:53 UTC 2026","passed","Wed Jun 10 14:58:53 UTC 2026","","test_daemon","",""
